39,545,Color [A=255, R=255, G=255, B=255]
39,546,Color [A=255, R=255, G=255, B=255]
39,547,Color [A=255, R=255, G=255, B=255]
39,548,Color [A=255, R=255, G=255, B=255]
39,549,Color [A=255, R=255, G=255, B=255]
40,544,Color [A=255, R=255, G=255, B=255]
40,545,Color [A=255, R=255, G=255, B=255]
40,549,Color [A=255, R=255, G=255, B=255]
40,550,Color [A=255, R=255, G=255, B=255]
41,544,Color [A=255, R=255, G=255, B=255]
41,550,Color [A=255, R=255, G=255, B=255]
42,543,Color [A=255, R=255, G=255, B=255]
42,544,Color [A=255, R=255, G=255, B=255]
42,550,Color [A=255, R=255, G=255, B=255]
42,558,Color [A=255, R=255, G=255, B=255]
42,559,Color [A=255, R=255, G=255, B=255]
42,560,Color [A=255, R=255, G=255, B=255]
42,561,Color [A=255, R=255, G=255, B=255]
42,562,Color [A=255, R=255, G=255, B=255]
43,543,Color [A=255, R=255, G=255, B=255]
43,550,Color [A=255, R=255, G=255, B=255]
43,557,Color [A=255, R=255, G=255, B=255]
43,558,Color [A=255, R=255, G=255, B=255]
43,562,Color [A=255, R=255, G=255, B=255]
43,563,Color [A=255, R=255, G=255, B=255]
43,628,Color [A=255, R=255, G=255, B=255]
43,629,Color [A=255, R=255, G=255, B=255]
43,630,Color [A=255, R=255, G=255, B=255]
43,631,Color [A=255, R=255, G=255, B=255]
43,632,Color [A=255, R=255, G=255, B=255]
44,542,Color [A=255, R=255, G=255, B=255]
44,543,Color [A=255, R=255, G=255, B=255]
44,550,Color [A=255, R=255, G=255, B=255]
44,557,Color [A=255, R=255, G=255, B=255]
44,563,Color [A=255, R=255, G=255, B=255]
44,564,Color [A=255, R=255, G=255, B=255]
44,565,Color [A=255, R=255, G=255, B=255]
44,626,Color [A=255, R=255, G=255, B=255]
44,627,Color [A=255, R=255, G=255, B=255]
44,628,Color [A=255, R=255, G=255, B=255]
44,632,Color [A=255, R=255, G=255, B=255]
44,633,Color [A=255, R=255, G=255, B=255]
45,542,Color [A=255, R=255, G=255, B=255]
45,549,Color [A=255, R=255, G=255, B=255]
45,550,Color [A=255, R=255, G=255, B=255]
45,557,Color [A=255, R=255, G=255, B=255]
45,565,Color [A=255, R=255, G=255, B=255]
45,566,Color [A=255, R=255, G=255, B=255]
45,567,Color [A=255, R=255, G=255, B=255]
45,568,Color [A=255, R=255, G=255, B=255]
45,569,Color [A=255, R=255, G=255, B=255]
45,570,Color [A=255, R=255, G=255, B=255]
45,571,Color [A=255, R=255, G=255, B=255]
45,625,Color [A=255, R=255, G=255, B=255]
